,full_name,id,contained_within,country,country_code,geo,name,place_type
a89175c4c91f45a3,"Citrus Heights, CA",a89175c4c91f45a3,[],,,"{'type': 'Feature', 'bbox': [-121.331355, 38.663673, -121.242804, 38.722779], 'properties': {}}",,city
3f5897b87d2bf56c,"Delaware, USA",3f5897b87d2bf56c,[],,,"{'type': 'Feature', 'bbox': [-75.7887564, 38.4510398, -74.984165, 39.839007], 'properties': {}}",,admin
161d2f18e3a0445a,"Raleigh, NC",161d2f18e3a0445a,[],,,"{'type': 'Feature', 'bbox': [-78.818343, 35.7158045, -78.497331, 35.9721579], 'properties': {}}",,city
00c39537733fa112,"Queens, NY",00c39537733fa112,[],,,"{'type': 'Feature', 'bbox': [-73.962582, 40.541722, -73.699793, 40.8000371], 'properties': {}}",,city
c3f37afa9efcf94b,"Austin, TX",c3f37afa9efcf94b,[],,,"{'type': 'Feature', 'bbox': [-97.928935, 30.127892, -97.5805133, 30.5187994], 'properties': {}}",,city
ab2f2fac83aa388d,"Oakland, CA",ab2f2fac83aa388d,[],,,"{'type': 'Feature', 'bbox': [-122.34266, 37.699279, -122.114711, 37.8847092], 'properties': {}}",,city
5c2b5e46ab891f07,"Las Vegas, NV",5c2b5e46ab891f07,[],,,"{'type': 'Feature', 'bbox': [-115.384091, 36.129459, -115.062159, 36.336371], 'properties': {}}",,city
413ef5a0d23bfe4f,"Kalamazoo, MI",413ef5a0d23bfe4f,[],,,"{'type': 'Feature', 'bbox': [-85.649602, 42.215555, -85.481775, 42.365493], 'properties': {}}",,city
011add077f4d2da3,"Brooklyn, NY",011add077f4d2da3,[],,,"{'type': 'Feature', 'bbox': [-74.041878, 40.570842, -73.855673, 40.739434], 'properties': {}}",,city
6c686af766d8429c,"Fort Lauderdale, FL",6c686af766d8429c,[],,,"{'type': 'Feature', 'bbox': [-80.20811, 26.080935, -80.0902351, 26.219801], 'properties': {}}",,city
cd450c94084cbf9b,"Massachusetts, USA",cd450c94084cbf9b,[],,,"{'type': 'Feature', 'bbox': [-73.508143, 41.187054, -69.858861, 42.8868241], 'properties': {}}",,admin
946ccd22e1c9cda1,"Pittsburgh, PA",946ccd22e1c9cda1,[],,,"{'type': 'Feature', 'bbox': [-80.095586, 40.3615796, -79.8657933, 40.501198], 'properties': {}}",,city
5e68ca240e32025a,"Chino Hills, CA",5e68ca240e32025a,[],,,"{'type': 'Feature', 'bbox': [-117.788282, 33.921548, -117.6552404, 34.0234834], 'properties': {}}",,city
ae845a49091f2727,"Somerville, MA",ae845a49091f2727,[],,,"{'type': 'Feature', 'bbox': [-71.134552, 42.3727525, -71.072892, 42.418052], 'properties': {}}",,city
008338532a26abed,"Bradenton, FL",008338532a26abed,[],,,"{'type': 'Feature', 'bbox': [-82.688331, 27.424889, -82.459019, 27.52306], 'properties': {}}",,city
e314d126e15cdbfa,"Golden Valley, MN",e314d126e15cdbfa,[],,,"{'type': 'Feature', 'bbox': [-93.400969, 44.966485, -93.318318, 45.016929], 'properties': {}}",,city
4ec01c9dbc693497,"Florida, USA",4ec01c9dbc693497,[],,,"{'type': 'Feature', 'bbox': [-87.634643, 24.396308, -79.974307, 31.001056], 'properties': {}}",,admin
009987081e292b49,"Rehoboth, MA",009987081e292b49,[],,,"{'type': 'Feature', 'bbox': [-71.296345, 41.804253, -71.261795, 41.847254], 'properties': {}}",,city
0a0de7bd49ef942d,"Scottsdale, AZ",0a0de7bd49ef942d,[],,,"{'type': 'Feature', 'bbox': [-111.960775, 33.4358637, -111.756022, 33.842816], 'properties': {}}",,city
01a9a39529b27f36,"Manhattan, NY",01a9a39529b27f36,[],,,"{'type': 'Feature', 'bbox': [-74.026675, 40.683935, -73.910408, 40.877483], 'properties': {}}",,city
0068df0f3d964111,"Grafton, MA",0068df0f3d964111,[],,,"{'type': 'Feature', 'bbox': [-71.733841, 42.163379, -71.640842, 42.252255], 'properties': {}}",,city
463f5d9615d7d1be,"Maine, USA",463f5d9615d7d1be,[],,,"{'type': 'Feature', 'bbox': [-71.084335, 42.917127, -66.885075, 47.459687], 'properties': {}}",,admin
97b70992556c6354,"Farmers Branch, TX",97b70992556c6354,[],,,"{'type': 'Feature', 'bbox': [-96.938694, 32.895548, -96.821221, 32.953548], 'properties': {}}",,city
073b88b74b72bb80,"Grove City, OH",073b88b74b72bb80,[],,,"{'type': 'Feature', 'bbox': [-83.127063, 39.791505, -83.008394, 39.9074412], 'properties': {}}",,city
0da8a6c990f02eed,"Orland Park, IL",0da8a6c990f02eed,[],,,"{'type': 'Feature', 'bbox': [-87.911936, 41.552464, -87.790471, 41.65669], 'properties': {}}",,city
5ef5b7f391e30aff,"Berkeley, CA",5ef5b7f391e30aff,[],,,"{'type': 'Feature', 'bbox': [-122.324818, 37.8459532, -122.234225, 37.905738], 'properties': {}}",,city
29a119f18820c3ad,"Frontenac, MO",29a119f18820c3ad,[],,,"{'type': 'Feature', 'bbox': [-90.433909, 38.606163, -90.405462, 38.647891], 'properties': {}}",,city
9807c5c5f7a2c6ce,"Minnesota, USA",9807c5c5f7a2c6ce,[],,,"{'type': 'Feature', 'bbox': [-97.239256, 43.499362, -89.483385, 49.384359], 'properties': {}}",,admin
00ab941b685334e3,"Nashville, TN",00ab941b685334e3,[],,,"{'type': 'Feature', 'bbox': [-87.022482, 35.9945681, -86.560616, 36.405448], 'properties': {}}",,city
840f120ae56c1da7,"Napa, CA",840f120ae56c1da7,[],,,"{'type': 'Feature', 'bbox': [-122.358011, 38.243267, -122.254517, 38.350876], 'properties': {}}",,city
103920dc0314e000,NJ Memory Center,103920dc0314e000,[],,,"{'type': 'Feature', 'bbox': [-74.229901, 40.828043, -74.229901, 40.828043], 'properties': {}}",,poi
3fdd3a62ae058de9,"Wilkes-Barre, PA",3fdd3a62ae058de9,[],,,"{'type': 'Feature', 'bbox': [-75.924804, 41.215416, -75.8267555, 41.272993], 'properties': {}}",,city
01584ae34a2fc8c9,"Farmington, CT",01584ae34a2fc8c9,[],,,"{'type': 'Feature', 'bbox': [-72.909856, 41.686204, -72.7613122, 41.776259], 'properties': {}}",,city
3c17146a8c4f3c57,"New Richmond, WI",3c17146a8c4f3c57,[],,,"{'type': 'Feature', 'bbox': [-92.5701274, 45.0989308, -92.507083, 45.137293], 'properties': {}}",,city
61f73dd1739509f0,"Upper Arlington, OH",61f73dd1739509f0,[],,,"{'type': 'Feature', 'bbox': [-83.104102, 39.989304, -83.042267, 40.063889], 'properties': {}}",,city
3b77caf94bfc81fe,"Los Angeles, CA",3b77caf94bfc81fe,[],,,"{'type': 'Feature', 'bbox': [-118.668404, 33.704538, -118.155409, 34.337041], 'properties': {}}",,city
b0b79caecef59fb5,"Burbank, CA",b0b79caecef59fb5,[],,,"{'type': 'Feature', 'bbox': [-118.37032, 34.1426298, -118.2799703, 34.2216898], 'properties': {}}",,city
07d9d92385c81000,East Providence City Hall,07d9d92385c81000,[],,,"{'type': 'Feature', 'bbox': [-71.37598838618106, 41.819669181064384, -71.37598838618106, 41.819669181064384], 'properties': {}}",,poi
1994142e26ba7127,"Davis, CA",1994142e26ba7127,[],,,"{'type': 'Feature', 'bbox': [-121.803252, 38.526843, -121.675074, 38.590264], 'properties': {}}",,city
5a110d312052166f,"San Francisco, CA",5a110d312052166f,[],,,"{'type': 'Feature', 'bbox': [-122.514926, 37.708075, -122.357031, 37.833238], 'properties': {}}",,city
83f591d18ca28d00,"Shaler Township, PA",83f591d18ca28d00,[],,,"{'type': 'Feature', 'bbox': [-79.988653, 40.4784445, -79.9022372, 40.56368], 'properties': {}}",,city
009243ac50ad0f26,"West Sacramento, CA",009243ac50ad0f26,[],,,"{'type': 'Feature', 'bbox': [-121.584282, 38.516197, -121.506483, 38.603777], 'properties': {}}",,city
2bc7c264a080898b,"Hollywood, FL",2bc7c264a080898b,[],,,"{'type': 'Feature', 'bbox': [-80.248975, 25.9862279, -80.107808, 26.093132], 'properties': {}}",,city
67b98f17fdcf20be,"Boston, MA",67b98f17fdcf20be,[],,,"{'type': 'Feature', 'bbox': [-71.191421, 42.227797, -70.986004, 42.399542], 'properties': {}}",,city
e0060cda70f5f341,"Texas, USA",e0060cda70f5f341,[],,,"{'type': 'Feature', 'bbox': [-106.645646, 25.837092, -93.508131, 36.500695], 'properties': {}}",,admin
